('diskorect', 'dual_bisel', 'POSITIVE_INTERVAL_REPARAMETRIZED', 'BCELoss', '0.1', 'closing', 'disk')
('diskorect', 'bisel', 'POSITIVE_INTERVAL_REPARAMETRIZED', 'DiceLoss', '0.1', 'erosion', 'bdiamond')
('diskorect', 'bisel', 'RAW', 'BCELoss', '0.1', 'opening', 'scross')
('diskorect', 'bisel', 'RAW', 'MSELoss', '0.01', 'opening', 'bsquare')
('diskorect', 'dual_bisel', 'RAW', 'DiceLoss', '0.1', 'closing', 'bcomplex')
('diskorect', 'dual_bisel', 'RAW', 'MSELoss', '0.1', 'opening', 'scross')
('diskorect', 'dual_bisel', 'RAW', 'DiceLoss', '0.01', 'closing', 'bdiamond')
('diskorect', 'dual_bisel', 'POSITIVE_INTERVAL_REPARAMETRIZED', 'BCELoss', '0.1', 'opening', 'bdiamond')
('diskorect', 'bisel', 'POSITIVE_INTERVAL_REPARAMETRIZED', 'DiceLoss', '0.01', 'opening', 'scross')
('diskorect', 'dual_bisel', 'POSITIVE', 'BCELoss', '0.1', 'opening', 'dcross')
('diskorect', 'dual_bisel', 'POSITIVE', 'BCELoss', '0.01', 'opening', 'disk')
('diskorect', 'bisel', 'POSITIVE', 'DiceLoss', '0.1', 'opening', 'dcross')
('diskorect', 'dual_bisel', 'POSITIVE_INTERVAL_REPARAMETRIZED', 'MSELoss', '0.1', 'erosion', 'disk')
('diskorect', 'dual_bisel', 'POSITIVE_INTERVAL_REPARAMETRIZED', 'DiceLoss', '0.01', 'closing', 'dcross')
('diskorect', 'dual_bisel', 'POSITIVE', 'BCELoss', '0.01', 'closing', 'disk')
('diskorect', 'dual_bisel', 'POSITIVE', 'DiceLoss', '0.01', 'opening', 'scross')
('diskorect', 'bisel', 'RAW', 'MSELoss', '0.01', 'opening', 'hstick')
('diskorect', 'dual_bisel', 'POSITIVE', 'BCELoss', '0.01', 'opening', 'dcross')
('diskorect', 'dual_bisel', 'POSITIVE', 'DiceLoss', '0.1', 'closing', 'bsquare')
('diskorect', 'bisel', 'RAW', 'BCELoss', '0.1', 'opening', 'bdiamond')
('diskorect', 'dual_bisel', 'POSITIVE', 'BCELoss', '0.01', 'opening', 'scross')
('diskorect', 'dual_bisel', 'POSITIVE_INTERVAL_REPARAMETRIZED', 'DiceLoss', '0.1', 'opening', 'scross')
('diskorect', 'bisel', 'POSITIVE_INTERVAL_REPARAMETRIZED', 'BCELoss', '0.1', 'opening', 'disk')
('diskorect', 'bisel', 'POSITIVE_INTERVAL_REPARAMETRIZED', 'BCELoss', '0.01', 'opening', 'bcomplex')
('diskorect', 'bisel', 'POSITIVE', 'DiceLoss', '0.1', 'closing', 'disk')
('diskorect', 'dual_bisel', 'POSITIVE_INTERVAL_REPARAMETRIZED', 'BCELoss', '0.01', 'closing', 'bsquare')
('diskorect', 'dual_bisel', 'POSITIVE_INTERVAL_REPARAMETRIZED', 'DiceLoss', '0.1', 'closing', 'bsquare')
('diskorect', 'bisel', 'POSITIVE_INTERVAL_REPARAMETRIZED', 'MSELoss', '0.1', 'opening', 'bcomplex')
('diskorect', 'dual_bisel', 'POSITIVE_INTERVAL_REPARAMETRIZED', 'BCELoss', '0.01', 'opening', 'scross')
('diskorect', 'bisel', 'POSITIVE_INTERVAL_REPARAMETRIZED', 'BCELoss', '0.1', 'erosion', 'bcomplex')
('diskorect', 'dual_bisel', 'POSITIVE', 'BCELoss', '0.01', 'closing', 'bdiamond')
