,,,dice,binary_mode_dice,dice,binary_mode_dice
atomic_element,,,bisel,bisel,dual_bisel,dual_bisel
dataset_type,operation,selem,,,,
diskorect,closing,bcomplex,6,6,1,1
diskorect,closing,bdiamond,4,2,0,0
diskorect,closing,bsquare,17,2,9,0
diskorect,closing,dcross,15,15,9,9
diskorect,closing,disk,5,2,2,2
diskorect,closing,hstick,14,11,18,15
diskorect,closing,scross,7,7,0,0
diskorect,dilation,bcomplex,18,18,18,18
diskorect,dilation,bdiamond,18,18,15,18
diskorect,dilation,bsquare,18,18,16,18
diskorect,dilation,dcross,18,18,18,18
diskorect,dilation,disk,18,18,15,18
diskorect,dilation,hstick,18,18,15,18
diskorect,dilation,scross,18,18,18,18
diskorect,erosion,bcomplex,16,16,8,15
diskorect,erosion,bdiamond,15,16,8,15
diskorect,erosion,bsquare,18,18,18,18
diskorect,erosion,dcross,16,18,12,16
diskorect,erosion,disk,13,15,8,14
diskorect,erosion,hstick,18,18,15,18
diskorect,erosion,scross,18,18,15,17
diskorect,opening,bcomplex,9,7,3,3
diskorect,opening,bdiamond,1,1,1,1
diskorect,opening,bsquare,12,0,8,0
diskorect,opening,dcross,11,13,7,8
diskorect,opening,disk,3,3,2,2
diskorect,opening,hstick,8,7,18,16
diskorect,opening,scross,4,5,1,1
inverted_mnist,closing,bcomplex,10,10,0,0
inverted_mnist,closing,bdiamond,18,6,2,0
inverted_mnist,closing,bsquare,18,14,18,18
inverted_mnist,closing,dcross,17,17,9,9
inverted_mnist,closing,disk,14,10,1,1
inverted_mnist,closing,hstick,18,12,18,14
inverted_mnist,closing,scross,18,10,1,0
inverted_mnist,dilation,bcomplex,18,18,18,18
inverted_mnist,dilation,bdiamond,18,18,18,18
inverted_mnist,dilation,bsquare,18,18,18,18
inverted_mnist,dilation,dcross,18,18,18,18
inverted_mnist,dilation,disk,18,18,18,18
inverted_mnist,dilation,hstick,18,18,18,18
inverted_mnist,dilation,scross,18,18,18,18
inverted_mnist,erosion,bcomplex,15,17,18,18
inverted_mnist,erosion,bdiamond,15,17,18,18
inverted_mnist,erosion,bsquare,18,18,18,18
inverted_mnist,erosion,dcross,18,18,16,16
inverted_mnist,erosion,disk,16,17,18,18
inverted_mnist,erosion,hstick,18,18,18,18
inverted_mnist,erosion,scross,18,18,18,18
inverted_mnist,opening,bcomplex,18,4,18,0
inverted_mnist,opening,bdiamond,18,2,18,10
inverted_mnist,opening,bsquare,18,12,18,15
inverted_mnist,opening,dcross,17,5,16,1
inverted_mnist,opening,disk,18,1,18,3
inverted_mnist,opening,hstick,17,11,18,16
inverted_mnist,opening,scross,18,1,18,0
mnist,closing,bcomplex,17,2,1,0
mnist,closing,bdiamond,24,5,16,0
mnist,closing,bsquare,23,16,18,18
mnist,closing,dcross,14,11,0,0
mnist,closing,disk,22,2,7,0
mnist,closing,hstick,22,4,16,13
mnist,closing,scross,22,7,17,0
mnist,dilation,bcomplex,18,18,18,18
mnist,dilation,bdiamond,18,18,18,18
mnist,dilation,bsquare,18,18,18,18
mnist,dilation,dcross,18,18,18,18
mnist,dilation,disk,19,19,18,18
mnist,dilation,hstick,18,18,18,18
mnist,dilation,scross,18,18,18,18
mnist,erosion,bcomplex,3,8,7,9
mnist,erosion,bdiamond,15,17,12,12
mnist,erosion,bsquare,18,18,18,18
mnist,erosion,dcross,15,12,6,4
mnist,erosion,disk,3,2,5,8
mnist,erosion,hstick,18,18,12,18
mnist,erosion,scross,18,12,10,10
mnist,opening,bcomplex,1,1,0,0
mnist,opening,bdiamond,3,1,0,0
mnist,opening,bsquare,15,9,18,18
mnist,opening,dcross,8,5,4,6
mnist,opening,disk,4,3,0,0
mnist,opening,hstick,6,6,13,12
mnist,opening,scross,3,3,0,0
