,diskorect,diskorect,mnist,mnist,inverted_mnist,inverted_mnist,mnist_gray,mnist_gray,fashionmnist,fashionmnist
,float,binary,float,binary,float,binary,float,binary,float,binary
BCE loss,0.69,0.91,0.7,0.76,0.81,0.87,0.48,0.76,0.41,0.81
DiceLoss,0.85,0.92,0.64,0.64,0.76,0.79,0.3,0.29,0.51,0.56
MSE loss,0.83,0.92,0.63,0.68,0.75,0.79,0.37,0.39,0.62,0.84
Positive,0.83,0.99,0.64,0.69,0.73,0.79,0.38,0.49,0.51,0.74
PR,0.78,0.79,0.76,0.77,0.9,0.89,0.35,0.45,0.51,0.74
PRR,0.74,0.9,0.6,0.64,0.73,0.79,0.48,0.58,0.52,0.74
Raw,0.81,0.97,0.63,0.67,0.73,0.79,0.36,0.45,0.5,0.73
0.01,0.67,0.92,0.6,0.62,0.72,0.76,0.33,0.46,0.42,0.77
0.1,0.91,0.91,0.72,0.77,0.83,0.87,0.43,0.5,0.6,0.71
